std_budget,booked_2025,booked_2026,booked_delta,booked_yoy_pct,gross_fee_2025,gross_fee_2026,gross_fee_delta,gross_fee_yoy_pct,commission_fee_2025,commission_fee_2026,commission_fee_delta,commission_fee_yoy_pct,avg_commission_2025,avg_commission_2026,avg_gross_2025,avg_gross_2026
"$5,000 or less",1,1,0,0.0,5500.000000000,5000.000000000,-500.000000000,-0.09090909090909090909090909091,2500.000000000,2500.000000000,0E-9,0,2500.000000000,2500.000000000,5500.000000000,5000.000000000
"$5,000 - $10,000",19,15,-4,-0.21052631578947367,177500.000000000,148500.000000000,-29000.000000000,-0.1633802816901408450704225352,55375.000000000,45025.000000000,-10350.000000000,-0.1869074492099322799097065463,2914.473684210526315789473684,3001.666666666666666666666667,9342.105263157894736842105263,9900.000000000
"$10,000 - $20,000",15,22,7,0.4666666666666667,255500.000000000,374900.000000000,119400.000000000,0.4673189823874755381604696673,72750.000000000,95750.000000000,23000.000000000,0.3161512027491408934707903780,4850.000000000,4352.272727272727272727272727,17033.33333333333333333333333,17040.90909090909090909090909
"$20,000 - $30,000",7,14,7,1.0,200000.000000000,382000.000000000,182000.000000000,0.91,48250.000000000,103625.000000000,55375.000000000,1.147668393782383419689119171,6892.857142857142857142857143,7401.785714285714285714285714,28571.42857142857142857142857,27285.71428571428571428571429
"$30,000 - $50,000",3,7,4,1.3333333333333333,123500.000000000,242000.000000000,118500.000000000,0.9595141700404858299595141700,27500.000000000,66175.000000000,38675.000000000,1.406363636363636363636363636,9166.666666666666666666666667,9453.571428571428571428571429,41166.66666666666666666666667,34571.42857142857142857142857
"$50,000 - $100,000",1,2,1,1.0,40000.000000000,110000.000000000,70000.000000000,1.75,12500.000000000,21500.000000000,9000.000000000,0.72,12500.000000000,10750.000000000,40000.000000000,55000.000000000
"$100,000 and above",3,1,-2,-0.6666666666666666,441000.000000000,35000.000000000,-406000.000000000,-0.9206349206349206349206349206,95375.000000000,5000.000000000,-90375.000000000,-0.9475753604193971166448230668,31791.66666666666666666666667,5000.000000000,147000.000000000,35000.000000000
"I have a budget, but I am unsure of what it is",20,14,-6,-0.3,711500.000000000,466200.000000000,-245300.000000000,-0.3447645818692902319044272663,161452.750000000,106950.000000000,-54502.750000000,-0.3375770929885059251081198679,8072.637500000,7639.285714285714285714285714,35575.000000000,33300.000000000
Unknown,10,3,-7,-0.7,1347500.000000000,255000.000000000,-1092500.000000000,-0.8107606679035250463821892393,384500.000000000,62500.000000000,-322000.000000000,-0.8374512353706111833550065020,38450.000000000,20833.33333333333333333333333,134750.000000000,85000.000000000
